"query","search interest","increase percent"
"varför måste jag betala tillbaka skatt",0,"Breakout"
"hur vet jag om jag ska betala eller få tillbaka skatt",0,"Breakout"
"reseavdrag skatt",3,"450 %"
"betala tillbaka skatt",8,"450 %"
"räkna ut reseavdrag",1,"250 %"
"skatt isk 2025",4,"190 %"
"avdrag skatt",8,"180 %"
"isk skatt 2025",4,"180 %"
"arbetsdagar 2025",1,"150 %"
"skatt tillbaka",23,"140 %"
"skatt deklaration",15,"130 %"
"deklarera skatt",5,"130 %"
"skatt på uthyrning av bostad",0,"130 %"
"deklarationen",7,"120 %"
"inkomstdeklaration",1,"120 %"
"gå ur svenska kyrkan",1,"110 %"
"när måste man betala skatt",2,"100 %"
"gräns statlig skatt 2025",2,"90 %"
"skatt deklaration 2026",6,"90 %"
"statlig skatt 2025",7,"80 %"
"hur mycket skatt får jag tillbaka",2,"70 %"
"jämka skatt",1,"60 %"
"grundavdrag skatt",2,"60 %"
"brytpunkt statlig skatt 2025",2,"50 %"
"skatt på vinst bostad",0,"50 %"
"gräns för statlig skatt 2025",1,"40 %"
"skatt på fonder",3,"40 %"
"utbetalning skatt",2,"40 %"
"skatt vid försäljning av hus",1,"40 %"
"statlig inkomstskatt 2025",1,"30 %"
"var går gränsen för statlig skatt",1,"30 %"
"hur mycket måste man tjäna för att betala skatt",1,"30 %"
"när betalar man statlig skatt",1,"30 %"
"skatt isk",20,"30 %"
"isk skatt",20,"30 %"
"skatt på isk",8,"30 %"
"skatt på fonder vid försäljning",0,"30 %"
"isk konto skatt",3,"20 %"
"skatt isk 2026",4,"20 %"
"preliminär skatt",3,"10 %"
"isk skatt 2026",4,"10 %"
"vilken skattetabell har jag",0,"8 %"
"min skatt",16,"3 %"
"hur mycket ska jag betala i skatt",1,"3 %"
"när behöver man betala skatt",1,"1 %"
"gränsen för statlig skatt",3,"0 %"
"hur mycket skatt ska jag betala",4,"−1 %"
"statlig skatt",25,"−1 %"
"skatteverket skatt",40,"−2 %"
"hur mycket",72,"−4 %"
