"query","search interest","increase percent"
"efter skatt",100,"−40 %"
"hur mycket",72,"−4 %"
"hur mycket skatt",70,"−10 %"
"skatt efter lön",68,"−40 %"
"lön efter skatt",67,"−40 %"
"skatt 2026",62,"−20 %"
"räkna skatt",60,"−30 %"
"räkna ut skatt",54,"−30 %"
"skatteverket skatt",40,"−2 %"
"statlig skatt",25,"−1 %"
"skatt tillbaka",23,"140 %"
"skatt isk",20,"30 %"
"isk skatt",20,"30 %"
"räkna ut lön",19,"−30 %"
"räkna lön efter skatt",17,"−30 %"
"räkna ut lön efter skatt",16,"−30 %"
"min skatt",16,"3 %"
"skatt deklaration",15,"130 %"
"skatt på lön",14,"−30 %"
"statlig skatt 2026",13,"−20 %"
"hur mycket skatt betalar man",13,"−9 %"
"hur mycket efter skatt",13,"−30 %"
"lön efter skatt 2026",12,"−30 %"
"beräkna skatt",11,"−20 %"
"skatteverket räkna ut skatt",10,"−50 %"
"räkna ut skatt skatteverket",10,"−50 %"
"skatt på pension",9,"−20 %"
"skatt bil",8,"−10 %"
"avdrag skatt",8,"180 %"
"skattetabell",8,"−7 %"
"skatt på isk",8,"30 %"
"betala tillbaka skatt",8,"450 %"
"skatt pensionär",7,"−10 %"
"statlig skatt 2025",7,"80 %"
"deklarationen",7,"120 %"
"hur mycket betalar man i skatt",6,"−7 %"
"skatteåterbäring",6,"−9 %"
"skatt stockholm",6,"−10 %"
"skatt deklaration 2026",6,"90 %"
"räkna ut din skatt",5,"−40 %"
"brytpunkt statlig skatt 2026",5,"−30 %"
"räkna ut skatt 2026",5,"−30 %"
"deklarera skatt",5,"130 %"
"vad får jag efter skatt",4,"−40 %"
"räkna skatt på lön",4,"−20 %"
"isk skatt 2025",4,"180 %"
"hur mycket skatt ska jag betala",4,"−1 %"
"skatt isk 2025",4,"190 %"
"skatt isk 2026",4,"20 %"
"isk skatt 2026",4,"10 %"
